name,price,detail_url
Настольная лампа Спайк Pink,1290руб.,https://www.divan.ru/product/nastolnaya-lampa-spajk-pink
Настольная лампа Клауд White,15 990руб.,https://www.divan.ru/product/nastolnaya-lampa-klaud-white
Люстра Боллар White,22 990руб.,https://www.divan.ru/product/lyustra-bollar-white
Настольная лампа Истад Black,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-istad-black
Настольная лампа Леррет Beige,3990руб.,https://www.divan.ru/product/nastolnaya-lampa-lerret-beige
Настольная лампа Синдри Grey,3490руб.,https://www.divan.ru/product/nastolnaya-lampa-sindri-grey
Торшер Алней Beige,7990руб.,https://www.divan.ru/product/torsher-alnej-beige
Настольная лампа Манэт White,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-manet-white
Подвесной светильник Портланд Black,3590руб.,https://www.divan.ru/product/podvesnoj-svetilnik-portland-black
Настольная лампа Леррет White,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-lerret-white
Люстра Синдри Black,12 990руб.,https://www.divan.ru/product/lyustra-sindri-black
Настольная лампа Арбет Silver,2490руб.,https://www.divan.ru/product/nastolnaya-lampa-arbet-silver
Настольная лампа Гейза Blue,2290руб.,https://www.divan.ru/product/nastolnaya-lampa-gejza-blue
Люстра Гейза Black,9990руб.,https://www.divan.ru/product/lyustra-gejza-black
Торшер Флиммер Black,4990руб.,https://www.divan.ru/product/torsher-flimmer-black
Настольная лампа Ливсден Brown,7490руб.,https://www.divan.ru/product/nastolnaya-lampa-livsden-brown
Настольная лампа Спайк White,1290руб.,https://www.divan.ru/product/nastolnaya-lampa-spajk-white
Подвесной светильник Малинг Beige,5990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-maling-beige
Подвесной светильник Кэндел Black,3990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kendel-black
Подвесной светильник Сансет White,4990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-sanset-white
Подвесной светильник Малинг Orange,6690руб.,https://www.divan.ru/product/podvesnoj-svetilnik-maling-orange
Настольная лампа Рибе Black,1690руб.,https://www.divan.ru/product/nastolnaya-lampa-ribe-black
Настольная лампа Снибальд White,690руб.,https://www.divan.ru/product/nastolnaya-lampa-snibald-white
Подвесной светильник Сансет Black,5990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-sanset-black
Настольная лампа Арбет White,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-arbet-white
Настольная лампа Гейза Orange,2990руб.,https://www.divan.ru/product/nastolnaya-lampa-gejza-orange
Бра Флиммер Black,1690руб.,https://www.divan.ru/product/bra-flimmer-black
Настольная лампа Гейза Pink,2290руб.,https://www.divan.ru/product/nastolnaya-lampa-gejza-pink
Настольная лампа Арбет Orange,2390руб.,https://www.divan.ru/product/nastolnaya-lampa-arbet-orange
Подвесной светильник Малинг Olive,6490руб.,https://www.divan.ru/product/podvesnoj-svetilnik-maling-olive
Подвесной светильник Бабл-9,16 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-babl-9
Люстра Флиммер Black,7990руб.,https://www.divan.ru/product/lyustra-flimmer-black
Настольная лампа Гейза Black,2290руб.,https://www.divan.ru/product/nastolnaya-lampa-gejza-black
Торшер Алней Green,7990руб.,https://www.divan.ru/product/torsher-alnej-green
Настольная лампа Арбет Beige,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-arbet-beige
Подвесной светильник Флиммер Black,1890руб.,https://www.divan.ru/product/podvesnoj-svetilnik-flimmer-black
Настольная лампа Арбет Black,1990руб.,https://www.divan.ru/product/nastolnaya-lampa-arbet-black
Настольная лампа Флиммер Black,2990руб.,https://www.divan.ru/product/nastolnaya-lampa-flimmer-black
Настольная лампа Истад White,1490руб.,https://www.divan.ru/product/nastolnaya-lampa-istad-white
Настольная лампа Астри Black,1290руб.,https://www.divan.ru/product/nastolnaya-lampa-astri-black
Настольная лампа Дэнди White,4990руб.,https://www.divan.ru/product/nastolnaya-lampa-dendi-white
Торшер Бабл-1,8690руб.,https://www.divan.ru/product/torsher-babl-1
Подвесной светильник Бабл-3,5690руб.,https://www.divan.ru/product/podvesnoj-svetilnik-babl-3
Бра Бабл Black,2490руб.,https://www.divan.ru/product/bra-babl-black
Настольная лампа Дэнди Black,4990руб.,https://www.divan.ru/product/nastolnaya-lampa-dendi-black
Торшер Варио White,5990руб.,https://www.divan.ru/product/torsher-vario-white
Бра Варио Black,990руб.,https://www.divan.ru/product/bra-vario-black
Подвесной светильник Кэндел White,2990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kendel-white
Бра Варио White,990руб.,https://www.divan.ru/product/bra-vario-white
Бра Moderli Alina,2790руб.,https://www.divan.ru/product/bra-moderli-alina
Подвесной светильник Маро Green,7590руб.,https://www.divan.ru/product/podvesnoj-svetilnik-maro-green
Бра Galdakao-1,6590руб.,https://www.divan.ru/product/bra-galdakao
